anon_polygon_id,cell_id,cell_lon,cell_lat,cropland_frac,ndvi_std,peak_ndvi,crop_type,tile
ROS1-22-0026,40.5_49.4,40.5,49.4,1,0.053489013113696644,0.5969118285313242,зерновые,22
ROS1-24-0006,41.8_46.3,41.8,46.3,1,0.023097432154625334,0.5992393712973394,озимая пшеница,24
ROS1-25-0023,41.9_46.7,41.9,46.7,1,0.030313580090403733,0.628909524104499,неизвестно,25
ROS1-26-0036,41.4_48.2,41.4,48.2,1,0.07616738319138389,0.5800057542591173,неизвестно,26
ROS1-27-0021,41.9_48.3,41.9,48.3,1,0.06881418237312299,0.6361686308549636,неизвестно,27
ROS1-28-0030,41.9_49.0,41.9,49,1,0.03352523815863838,0.5896394827802885,неизвестно,28
ROS1-29-0008,41.5_50.0,41.5,50,1,0.03182618324105359,0.5952488664181826,неизвестно,29
ROS1-30-0013,42.4_46.6,42.4,46.6,1,0.06026501354990363,0.6097840967403997,неизвестно,30
ROS1-31-0028,42.7_46.8,42.7,46.8,0.999745895567385,0.028480314067229322,0.6201446738851046,зерновые,31
ROS1-32-0015,42.2_47.9,42.2,47.9,0.9862629483416,0.07648891950347307,0.5928072918699138,неизвестно,32
ROS1-33-0009,42.6_48.8,42.6,48.8,1,0.011997314555297059,0.5563166142644743,неизвестно,33
ROS1-34-0003,42.6_49.0,42.6,49,1,0.02385805417374557,0.5591050315679793,озимая пшеница,34
ROS1-36-0014,43.0_46.5,43,46.5,1,0.029045958574795624,0.6008949719276335,озимая пшеница,36
ROS1-37-0012,43.1_46.9,43.1,46.9,1,0.024196118428088144,0.6312855347403822,озимая пшеница,37
ROS1-38-0001,42.8_47.5,42.8,47.5,0.9639853133256471,0.021159332240438044,0.6400549748137125,озимая пшеница,38
ROS1-42-0000,43.7_46.4,43.7,46.4,1,0.046978999575330034,0.6138565635993364,зерновые,42
ROS1-43-0006,43.5_47.4,43.5,47.4,1,0.03975393282777768,0.6003389258199426,озимая пшеница,43
ROS1-49-0003,44.3_47.0,44.3,47,0.9998412963939968,0.057296271820357236,0.6478103711004879,озимая пшеница,49
ROS1-15-0006,39.9_48.9,39.9,48.9,1,0.036397936340743745,0.6100294160890668,неизвестно,15
ROS1-18-0024,41.2_46.3,41.2,46.3,1,0.06010541710813587,0.6344837964547897,неизвестно,18
ROS1-19-0016,41.0_46.8,41,46.8,1,0.06801149467575036,0.6352823170567776,зерновые,19
ROS1-21-0036,40.6_48.5,40.6,48.5,1,0.031243481305707595,0.6455541209969848,неизвестно,21
ROS1-22-0006,40.8_49.7,40.8,49.7,1,0.07455275367102807,0.5803647857589939,озимая пшеница,22
ROS1-24-0034,41.6_46.3,41.6,46.3,1,0.06711838918478161,0.6244361207541618,неизвестно,24
ROS1-25-0002,41.9_46.7,41.9,46.7,1,0.028175282828028683,0.5618560577463373,зерновые,25
ROS1-26-0040,41.9_47.6,41.9,47.6,1,0.005194469187562764,0.6185996457192381,неизвестно,26
ROS1-27-0005,41.9_48.3,41.9,48.3,1,0.0188197397479513,0.6337840236579854,неизвестно,27
ROS1-28-0013,41.9_49.3,41.9,49.3,1,0.058977112323291184,0.60828143596998,неизвестно,28
ROS1-30-0014,42.2_46.7,42.2,46.7,0.9837562442742813,0.05852937852817404,0.5698392922305457,озимая пшеница,30
ROS1-31-0021,42.5_46.9,42.5,46.9,1,0.038504824642196595,0.6365086700904059,озимая пшеница,31
ROS1-32-0006,42.1_47.8,42.1,47.8,1,0.05629587872243638,0.6404248379211447,неизвестно,32
ROS1-33-0008,42.6_48.6,42.6,48.6,0.9576125,0.06766648023479571,0.5953964208215258,зерновые,33
ROS1-34-0005,42.4_49.0,42.4,49,1,0.011626111956760282,0.5833423665073758,озимая пшеница,34
ROS1-36-0005,43.4_46.6,43.4,46.6,1,0.025430729094180697,0.5780038882959045,озимая пшеница,36
ROS1-37-0019,43.1_46.8,43.1,46.8,0.992228012776578,0.07775160853509284,0.5580889624753445,неизвестно,37
ROS1-38-0007,43.0_47.5,43,47.5,1,0.058656331633542794,0.5635529530539665,неизвестно,38
ROS1-42-0016,43.8_46.5,43.8,46.5,1,0.015544438476678739,0.6073354224128273,озимая пшеница,42
ROS1-43-0016,44.1_46.9,44.1,46.9,1,0.03413571245155394,0.6372617203663852,озимая пшеница,43
ROS1-49-0012,44.3_47.0,44.3,47,1,0.07268654883319858,0.6099639188115072,озимая пшеница,49
ROS1-18-0009,41.0_46.6,41,46.6,1,0.018518873582942668,0.6073397086148203,неизвестно,18
ROS1-21-0000,40.8_48.4,40.8,48.4,1,0.029530687402025645,0.6001495927153391,неизвестно,21
ROS1-24-0023,41.7_46.6,41.7,46.6,0.9695723968599786,0.05014665486718184,0.5949530509890896,озимая пшеница,24
ROS1-25-0027,41.5_47.0,41.5,47,0.999892582614711,0.043980266021428065,0.5938730599961531,зерновые,25
ROS1-01-0005,38.3_47.2,38.3,47.2,0.9979934970480021,0.06942747321796744,0.7482551445209887,неизвестно,1
ROS1-07-0005,39.2_46.9,39.2,46.9,0.9720270694676884,0.058533606051573504,0.6678851612622564,озимая пшеница,7
ROS1-08-0022,39.6_47.7,39.6,47.7,1,0.06219860862833411,0.7029391952244901,неизвестно,8
ROS1-13-0005,40.2_46.7,40.2,46.7,0.9959022056410526,0.04986039637100902,0.6999331861531103,озимая пшеница,13
ROS1-14-0002,40.2_48.0,40.2,48,1,0.03943740327342095,0.717246042642362,зерновые,14
ROS1-15-0022,40.3_48.5,40.3,48.5,1,0.032985889979966924,0.7347555759606895,озимая пшеница,15
ROS1-16-0004,40.2_49.6,40.2,49.6,1,0.0796700868278784,0.6585199187663959,неизвестно,16
ROS1-18-0027,40.9_46.4,40.9,46.4,1,0.02257449295905327,0.7479264170404417,озимая пшеница,18
ROS1-19-0012,41.1_47.0,41.1,47,1,0.06903701418532102,0.7183887430549132,озимая пшеница,19
ROS1-20-0038,41.1_47.9,41.1,47.9,1,0.051669258872174405,0.6625411806220525,неизвестно,20
ROS1-21-0003,41.0_48.2,41,48.2,1,0.024819876251029216,0.7474480127380381,неизвестно,21
ROS1-22-0014,40.6_49.6,40.6,49.6,1,0.046465071831479625,0.7383918281246654,зерновые,22
ROS1-24-0030,41.3_46.0,41.3,46,1,0.01199838041884967,0.6625796042796542,неизвестно,24
ROS1-25-0012,41.6_47.0,41.6,47,1,0.018640080879089447,0.7146493683063483,неизвестно,25
ROS1-26-0018,41.5_47.9,41.5,47.9,1,0.041324295520348026,0.7071682119878172,неизвестно,26
ROS1-27-0019,41.9_48.9,41.9,48.9,1,0.02505255866286693,0.6774490453872462,зерновые,27
ROS1-28-0002,41.9_49.4,41.9,49.4,1,0.01179969919023593,0.6876437893697603,неизвестно,28
ROS1-29-0003,41.8_49.8,41.8,49.8,1,0.06472614887810553,0.6503224158740564,зерновые,29
ROS1-30-0002,42.2_46.7,42.2,46.7,1,0.05990156813427554,0.7060371086737689,неизвестно,30
ROS1-31-0022,42.1_47.2,42.1,47.2,1,0.04282238828814999,0.7404110748817596,зерновые,31
ROS1-32-0025,42.1_47.9,42.1,47.9,1,0.03232385801258956,0.6544348356912593,зерновые,32
ROS1-33-0020,42.1_48.9,42.1,48.9,0.9980370882647693,0.04008384464805345,0.7107462713164584,неизвестно,33
ROS1-36-0007,43.4_46.4,43.4,46.4,1,0.032568889684472045,0.6851858530092398,неизвестно,36
ROS1-37-0031,42.9_47.1,42.9,47.1,1,0.007875039070554937,0.6758740039577249,озимая пшеница,37
ROS1-38-0004,43.2_47.5,43.2,47.5,1,0.03520436700560656,0.667525972092671,зерновые,38
ROS1-42-0010,43.6_46.3,43.6,46.3,1,0.07235450859576069,0.7175456308440853,неизвестно,42
ROS1-43-0026,43.5_47.2,43.5,47.2,1,0.00677542216069178,0.6764915188247559,озимая пшеница,43
ROS1-44-0000,43.5_47.5,43.5,47.5,1,0.026035603114152157,0.666691275473662,озимая пшеница,44
ROS1-49-0001,44.3_47.0,44.3,47,1,0.039434695292830876,0.6582946313788196,озимая пшеница,49
ROS1-50-0003,44.2_47.6,44.2,47.6,1,0.030885851125364454,0.7136558366344373,зерновые,50
ROS1-01-0044,38.7_46.8,38.7,46.8,0.9941008538691077,0.03431833215083926,0.7341283181610901,озимая пшеница,1
ROS1-07-0020,39.6_47.1,39.6,47.1,0.9923469387755102,0.05616735494959009,0.6867295067157052,неизвестно,7
ROS1-08-0025,39.3_47.8,39.3,47.8,1,0.04046114801128441,0.7463270402985531,неизвестно,8
ROS1-13-0000,40.4_47.0,40.4,47,1,0.04048494998868812,0.69305241677873,неизвестно,13
ROS1-14-0009,40.3_47.6,40.3,47.6,1,0.05391810549662354,0.7254316235161413,озимая пшеница,14
ROS1-15-0013,40.4_48.7,40.4,48.7,1,0.021301656677110387,0.7078813010693319,неизвестно,15
ROS1-18-0014,40.8_46.7,40.8,46.7,1,0.04862245607390882,0.6558910890007723,неизвестно,18
ROS1-19-0004,40.6_47.4,40.6,47.4,0.9900720637841154,0.047764763426976116,0.7238960895684532,озимая пшеница,19
ROS1-20-0017,40.6_47.8,40.6,47.8,1,0.07089451078511408,0.6676352180696341,неизвестно,20
ROS1-21-0010,41.1_48.8,41.1,48.8,1,0.018795517466470773,0.7463732240518944,неизвестно,21
ROS1-22-0022,40.8_49.0,40.8,49,0.99900146067323,0.03873581501896092,0.7004351016236597,неизвестно,22
ROS1-24-0024,41.4_46.4,41.4,46.4,0.9800008680178811,0.04679463452900598,0.7151050948637802,озимая пшеница,24
ROS1-25-0018,41.9_47.0,41.9,47,1,0.029844456540542526,0.6773310736919148,зерновые,25
ROS1-26-0030,41.7_48.1,41.7,48.1,1,0.033852805416000366,0.7164908660159112,неизвестно,26
ROS1-27-0013,41.2_48.4,41.2,48.4,0.9957439343755614,0.06025899095051257,0.7418619989945512,неизвестно,27
ROS1-28-0015,41.9_49.3,41.9,49.3,1,0.059170160590490205,0.6592722619832739,неизвестно,28
ROS1-29-0005,41.2_49.8,41.2,49.8,1,0.04290836409204097,0.6578677825909831,неизвестно,29
ROS1-30-0015,42.5_46.7,42.5,46.7,1,0.01872426899722863,0.7424900813519494,озимая пшеница,30
ROS1-31-0033,42.3_47.1,42.3,47.1,1,0.009400755106381225,0.6901781673821965,озимая пшеница,31
ROS1-32-0029,42.2_47.5,42.2,47.5,1,0.01796548077949493,0.7111097957968845,неизвестно,32
ROS1-33-0013,42.4_48.9,42.4,48.9,1,0.007003503857568949,0.6663084407641128,озимая пшеница,33
ROS1-36-0006,42.8_46.6,42.8,46.6,1,0.037990190578826626,0.6870078450917997,неизвестно,36
ROS1-37-0046,43.1_46.9,43.1,46.9,1,0.05537804644261242,0.7372883784299392,озимая пшеница,37
ROS1-42-0009,43.8_46.6,43.8,46.6,1,0.03422470521960014,0.6819213901494782,зерновые,42
ROS1-43-0017,43.5_47.3,43.5,47.3,1,0.05951828607998143,0.7195498756061874,зерновые,43
ROS1-49-0002,44.3_47.0,44.3,47,0.9966747435170388,0.058755559233654484,0.6640875526490219,зерновые,49
ROS1-01-0009,38.3_47.3,38.3,47.3,1,0.06959529761202375,0.6823848850292822,неизвестно,1
ROS1-07-0031,39.2_46.8,39.2,46.8,1,0.028256521425658362,0.7160447705872517,озимая пшеница,7
ROS1-13-0020,40.2_47.0,40.2,47,1,0.05938519715616633,0.7316437603522056,неизвестно,13
ROS1-14-0031,39.9_48.0,39.9,48,0.9985230132213461,0.04249904327007788,0.7397210421572513,неизвестно,14
ROS1-15-0025,40.1_48.6,40.1,48.6,1,0.04504969826872843,0.7091279975582516,зерновые,15
ROS1-19-0018,41.0_46.8,41,46.8,1,0.056086699590855285,0.675014918560075,зерновые,19
ROS1-20-0026,40.7_47.8,40.7,47.8,0.9724179048939929,0.05991099110683378,0.7339078364450086,неизвестно,20
ROS1-21-0037,40.6_48.3,40.6,48.3,1,0.04516546519064679,0.7227319103022922,неизвестно,21
ROS1-22-0002,40.6_49.4,40.6,49.4,1,0.04806052932846078,0.7079708020059856,неизвестно,22
ROS1-24-0018,41.6_46.5,41.6,46.5,0.9529669281782325,0.008843079917824877,0.7004191321125659,озимая пшеница,24
ROS1-25-0032,41.9_46.7,41.9,46.7,0.9900587671835763,0.05894856731969413,0.7457456854802968,неизвестно,25
ROS1-26-0004,41.9_47.6,41.9,47.6,1,0.033538839409339015,0.6655054359576202,неизвестно,26
ROS1-27-0027,41.9_48.9,41.9,48.9,1,0.049021066671813995,0.6502890937730195,неизвестно,27
ROS1-28-0023,41.9_49.1,41.9,49.1,0.9999258813937593,0.0500895491568991,0.7084465149751158,неизвестно,28
ROS1-29-0001,41.7_49.9,41.7,49.9,1,0.0598176925897807,0.7483449853457784,неизвестно,29
ROS1-30-0004,42.5_46.6,42.5,46.6,1,0.020984362206788815,0.6945409133305762,озимая пшеница,30
ROS1-31-0020,42.4_47.1,42.4,47.1,1,0.017498471127623257,0.6543748676707918,озимая пшеница,31
ROS1-32-0008,42.0_48.1,42,48.1,1,0.014355832273037746,0.6885838876659391,неизвестно,32
ROS1-33-0007,42.0_48.7,42,48.7,1,0.05030759800231251,0.6828345787068804,неизвестно,33
ROS1-36-0004,42.9_46.5,42.9,46.5,1,0.039450952246762636,0.7418047435284123,неизвестно,36
ROS1-37-0020,43.3_47.0,43.3,47,1,0.023054609077774093,0.7072202339114203,озимая пшеница,37
ROS1-42-0015,43.8_46.4,43.8,46.4,1,0.01895461727113003,0.7459245670455645,озимая пшеница,42
ROS1-43-0027,43.5_47.4,43.5,47.4,1,0.0213852017483246,0.6690883689811373,неизвестно,43
ROS1-49-0013,44.2_47.0,44.2,47,1,0.059122263137059206,0.718828734581424,озимая пшеница,49
ROS1-01-0036,38.7_47.2,38.7,47.2,1,0.044278685299054384,0.7040353531429485,неизвестно,1
ROS1-07-0002,39.6_47.1,39.6,47.1,1,0.06034002217588523,0.6954895883724004,озимая пшеница,7
ROS1-01-0045,38.5_47.3,38.5,47.3,0.9760399760826857,0.060956759789808815,0.831342030093653,озимая пшеница,1
ROS1-02-0007,38.4_47.5,38.4,47.5,1,0.03652881028748057,0.7593044641649241,озимая пшеница,2
ROS1-06-0000,39.2_46.7,39.2,46.7,1,0.010197310633169173,0.8925468391016694,озимая пшеница,6
ROS1-07-0025,39.7_47.4,39.7,47.4,1,0.07125219532658145,0.7565989271062706,неизвестно,7
ROS1-08-0003,39.1_47.7,39.1,47.7,1,0.04627328116809591,0.7641192349742516,неизвестно,8
